CustomerRelationshipTypeId,CustomerRelationshipTypeName,CustomerRelationshipTypeDescription
Utility-Offtake-01,Utility Offtake PPA 01,Utility-scale power purchase agreement relationship for synthetic renewable settlement demos. Contract tier 01; all values are synthetic and non-operational.
Corporate-24x7-CFE-02,Corporate 24x7 CFE 02,Corporate clean energy buyer with hourly matching target in synthetic demo data. Contract tier 02; all values are synthetic and non-operational.
Municipal-Green-Tariff-03,Municipal Green Tariff 03,Municipal or public-sector buyer using a synthetic renewable tariff relationship. Contract tier 03; all values are synthetic and non-operational.
Community-Solar-Sponsor-04,Community Solar Sponsor 04,Community solar sponsor or subscriber aggregation relationship. Contract tier 04; all values are synthetic and non-operational.
REC-Settlement-05,REC Settlement Buyer 05,Renewable energy certificate buyer relationship for synthetic settlement examples. Contract tier 05; all values are synthetic and non-operational.
Interconnection-Partner-06,Interconnection Partner 06,Grid or balancing-area relationship represented without critical infrastructure details. Contract tier 06; all values are synthetic and non-operational.
Asset-CoOwner-07,Asset Co-Owner 07,Synthetic joint ownership or tax-equity style relationship for portfolio reporting. Contract tier 07; all values are synthetic and non-operational.
Storage-Tolling-08,Storage Tolling Buyer 08,Storage capacity or tolling relationship represented in settlement data. Contract tier 08; all values are synthetic and non-operational.
Utility-Offtake-09,Utility Offtake PPA 09,Utility-scale power purchase agreement relationship for synthetic renewable settlement demos. Contract tier 09; all values are synthetic and non-operational.
Corporate-24x7-CFE-10,Corporate 24x7 CFE 10,Corporate clean energy buyer with hourly matching target in synthetic demo data. Contract tier 10; all values are synthetic and non-operational.
Municipal-Green-Tariff-11,Municipal Green Tariff 11,Municipal or public-sector buyer using a synthetic renewable tariff relationship. Contract tier 11; all values are synthetic and non-operational.
Community-Solar-Sponsor-12,Community Solar Sponsor 12,Community solar sponsor or subscriber aggregation relationship. Contract tier 12; all values are synthetic and non-operational.
REC-Settlement-13,REC Settlement Buyer 13,Renewable energy certificate buyer relationship for synthetic settlement examples. Contract tier 13; all values are synthetic and non-operational.
Interconnection-Partner-14,Interconnection Partner 14,Grid or balancing-area relationship represented without critical infrastructure details. Contract tier 14; all values are synthetic and non-operational.
Asset-CoOwner-15,Asset Co-Owner 15,Synthetic joint ownership or tax-equity style relationship for portfolio reporting. Contract tier 15; all values are synthetic and non-operational.
Storage-Tolling-16,Storage Tolling Buyer 16,Storage capacity or tolling relationship represented in settlement data. Contract tier 16; all values are synthetic and non-operational.
Utility-Offtake-17,Utility Offtake PPA 17,Utility-scale power purchase agreement relationship for synthetic renewable settlement demos. Contract tier 17; all values are synthetic and non-operational.
Corporate-24x7-CFE-18,Corporate 24x7 CFE 18,Corporate clean energy buyer with hourly matching target in synthetic demo data. Contract tier 18; all values are synthetic and non-operational.
Municipal-Green-Tariff-19,Municipal Green Tariff 19,Municipal or public-sector buyer using a synthetic renewable tariff relationship. Contract tier 19; all values are synthetic and non-operational.
Community-Solar-Sponsor-20,Community Solar Sponsor 20,Community solar sponsor or subscriber aggregation relationship. Contract tier 20; all values are synthetic and non-operational.
REC-Settlement-21,REC Settlement Buyer 21,Renewable energy certificate buyer relationship for synthetic settlement examples. Contract tier 21; all values are synthetic and non-operational.
Interconnection-Partner-22,Interconnection Partner 22,Grid or balancing-area relationship represented without critical infrastructure details. Contract tier 22; all values are synthetic and non-operational.
Asset-CoOwner-23,Asset Co-Owner 23,Synthetic joint ownership or tax-equity style relationship for portfolio reporting. Contract tier 23; all values are synthetic and non-operational.
Storage-Tolling-24,Storage Tolling Buyer 24,Storage capacity or tolling relationship represented in settlement data. Contract tier 24; all values are synthetic and non-operational.
Utility-Offtake-25,Utility Offtake PPA 25,Utility-scale power purchase agreement relationship for synthetic renewable settlement demos. Contract tier 25; all values are synthetic and non-operational.
Corporate-24x7-CFE-26,Corporate 24x7 CFE 26,Corporate clean energy buyer with hourly matching target in synthetic demo data. Contract tier 26; all values are synthetic and non-operational.
Municipal-Green-Tariff-27,Municipal Green Tariff 27,Municipal or public-sector buyer using a synthetic renewable tariff relationship. Contract tier 27; all values are synthetic and non-operational.
Community-Solar-Sponsor-28,Community Solar Sponsor 28,Community solar sponsor or subscriber aggregation relationship. Contract tier 28; all values are synthetic and non-operational.
REC-Settlement-29,REC Settlement Buyer 29,Renewable energy certificate buyer relationship for synthetic settlement examples. Contract tier 29; all values are synthetic and non-operational.
Interconnection-Partner-30,Interconnection Partner 30,Grid or balancing-area relationship represented without critical infrastructure details. Contract tier 30; all values are synthetic and non-operational.
Asset-CoOwner-31,Asset Co-Owner 31,Synthetic joint ownership or tax-equity style relationship for portfolio reporting. Contract tier 31; all values are synthetic and non-operational.
Storage-Tolling-32,Storage Tolling Buyer 32,Storage capacity or tolling relationship represented in settlement data. Contract tier 32; all values are synthetic and non-operational.
Utility-Offtake-33,Utility Offtake PPA 33,Utility-scale power purchase agreement relationship for synthetic renewable settlement demos. Contract tier 33; all values are synthetic and non-operational.
Corporate-24x7-CFE-34,Corporate 24x7 CFE 34,Corporate clean energy buyer with hourly matching target in synthetic demo data. Contract tier 34; all values are synthetic and non-operational.
Municipal-Green-Tariff-35,Municipal Green Tariff 35,Municipal or public-sector buyer using a synthetic renewable tariff relationship. Contract tier 35; all values are synthetic and non-operational.
Community-Solar-Sponsor-36,Community Solar Sponsor 36,Community solar sponsor or subscriber aggregation relationship. Contract tier 36; all values are synthetic and non-operational.
REC-Settlement-37,REC Settlement Buyer 37,Renewable energy certificate buyer relationship for synthetic settlement examples. Contract tier 37; all values are synthetic and non-operational.
Interconnection-Partner-38,Interconnection Partner 38,Grid or balancing-area relationship represented without critical infrastructure details. Contract tier 38; all values are synthetic and non-operational.
Asset-CoOwner-39,Asset Co-Owner 39,Synthetic joint ownership or tax-equity style relationship for portfolio reporting. Contract tier 39; all values are synthetic and non-operational.
Storage-Tolling-40,Storage Tolling Buyer 40,Storage capacity or tolling relationship represented in settlement data. Contract tier 40; all values are synthetic and non-operational.
Utility-Offtake-41,Utility Offtake PPA 41,Utility-scale power purchase agreement relationship for synthetic renewable settlement demos. Contract tier 41; all values are synthetic and non-operational.
Corporate-24x7-CFE-42,Corporate 24x7 CFE 42,Corporate clean energy buyer with hourly matching target in synthetic demo data. Contract tier 42; all values are synthetic and non-operational.
Municipal-Green-Tariff-43,Municipal Green Tariff 43,Municipal or public-sector buyer using a synthetic renewable tariff relationship. Contract tier 43; all values are synthetic and non-operational.
Community-Solar-Sponsor-44,Community Solar Sponsor 44,Community solar sponsor or subscriber aggregation relationship. Contract tier 44; all values are synthetic and non-operational.
REC-Settlement-45,REC Settlement Buyer 45,Renewable energy certificate buyer relationship for synthetic settlement examples. Contract tier 45; all values are synthetic and non-operational.
Interconnection-Partner-46,Interconnection Partner 46,Grid or balancing-area relationship represented without critical infrastructure details. Contract tier 46; all values are synthetic and non-operational.
Asset-CoOwner-47,Asset Co-Owner 47,Synthetic joint ownership or tax-equity style relationship for portfolio reporting. Contract tier 47; all values are synthetic and non-operational.
Storage-Tolling-48,Storage Tolling Buyer 48,Storage capacity or tolling relationship represented in settlement data. Contract tier 48; all values are synthetic and non-operational.
Utility-Offtake-49,Utility Offtake PPA 49,Utility-scale power purchase agreement relationship for synthetic renewable settlement demos. Contract tier 49; all values are synthetic and non-operational.
Corporate-24x7-CFE-50,Corporate 24x7 CFE 50,Corporate clean energy buyer with hourly matching target in synthetic demo data. Contract tier 50; all values are synthetic and non-operational.
